#           age (years)                      mass (M_sun)                    rho_c (g/cm^3)                      T_c (K)                         T_eff (K)                        L (L_sun)                       X(H1) center                      mu approx            
                10490366.447660562               14.996564437528773               109413634.16502996                656223749.9060282               11854.793308811328               18674.452189814976                              0.0               1.3333333333333333
                10490366.447650168               14.996564437528777               109413647.26740451                656223862.8129835               11851.984794194826               18655.006004197734                              0.0               1.3333333333333333
                10490366.447641507               14.996564437528779               109413672.09186305                656223994.7957703               11849.190171329055                18635.86259026038                              0.0               1.3333333333333333
                10490366.447634287                14.99656443752878               109413712.91124962                656224159.6424637                11845.22970932305                18609.44348810577                              0.0               1.3333333333333333
                10490366.447628273               14.996564437528784               109413802.18062629                656224447.5807899               11855.173663251835               18671.232647900775                              0.0               1.3333333333333333
                 10490366.44762326               14.996564437528786               109413966.00642823                656224931.2402909               11870.105673011722                18765.12132754902                              0.0               1.3333333333333333
                10490366.447619082               14.996564437528786                109413908.1306743                656224804.5541652               11887.614396584979               18876.063679538816                              0.0               1.3333333333333333
                10490366.447615601               14.996564437528786               109414375.40132399                656226103.7034338                11904.50824655913                  18983.855340387                              0.0               1.3333333333333333
                  10490366.4476127               14.996564437528786                109414543.4013098                 656226583.051054                11920.26160631387               19084.733636643905                              0.0               1.3333333333333333
                10490366.447609799               14.996564437528786                109414603.8220846                656226769.2443362               11942.083943062535               19225.536576585855                              0.0               1.3333333333333333
                10490366.447603997               14.996564437528786                109414604.0241256                656226812.8870739               11976.642798437771                19450.32565251095                              0.0               1.3333333333333333
                10490366.447589492               14.996564437528786               109414454.32495558                656226512.6867024               11973.111664687298               19426.621562123477                              0.0               1.3333333333333333
                10490366.447571361               14.996564437528788                109414286.4268815                656226189.8261632               11974.973961518903               19438.073083193336                              0.0               1.3333333333333333
                10490366.447556252               14.996564437528788               109414149.01969153                656225927.6090978                 11978.0024129249                19457.44568633172                              0.0               1.3333333333333333
                10490366.447543662               14.996564437528788               109414027.52695751                656225690.0554708                11972.02502926498                19418.14324087642                              0.0               1.3333333333333333
                10490366.447529042                14.99656443752879               109413897.79525447                656225445.1212862               11960.062917163592               19339.802918018857                              0.0               1.3333333333333333
                 10490366.44751077               14.996564437528793               109413775.01612921                656225246.2792536               11962.802335659571               19357.120354703413                              0.0               1.3333333333333333
                10490366.447490752               14.996564437528795               109413634.89083144                 656225013.104389               11955.502050342928               19309.194051594193           1.3381870260537812e-44               1.3333333333333333
                10490366.447469197               14.996564437528797               109413507.66053149                 656224826.494531               11948.918381562695               19265.955003123778                              0.0               1.3333333333333333
                10490366.447446618                 14.9965644375288                109413392.8601733                656224681.3633804                11938.04518980404                19194.92981155358                              0.0               1.3333333333333333
                 10490366.44742354               14.996564437528802               109413305.15322146                656224613.7736804               11925.670059202845                19114.18107027275                              0.0               1.3333333333333333
                10490366.447400337               14.996564437528804               109413243.04051735                656224616.8374363               11911.318238886224               19020.626647633097                              0.0               1.3333333333333333
                10490366.447373893               14.996564437528807               109413214.51108003                656224735.5102937               11913.301293931589               19031.572864140955                              0.0               1.3333333333333333
                10490366.447329817               14.996564437528816               109413123.53041603                656224814.9456549               11912.200932925036               19021.551648841712                              0.0               1.3333333333333333
                10490366.447293088               14.996564437528823               109413039.36766618                656224858.3996027                11910.75190275061                19009.64243535727                              0.0               1.3333333333333333
                10490366.447262479                14.99656443752883               109412974.99135603                656224910.3053585                11909.22702943547                18997.54282651132                              0.0               1.3333333333333333
                10490366.447236974               14.996564437528832               109412926.45956585                656224967.4989774               11908.052230740357               18987.953831949122                              0.0               1.3333333333333333
                 10490366.44721572               14.996564437528834               109412887.72441654                656225019.8146603                11907.87568213989               18985.012064574476                              0.0               1.3333333333333333
                10490366.447198005               14.996564437528837               109412856.18696994                656225065.4325674               11909.463871898612               18993.633324675076                              0.0               1.3333333333333333
                10490366.447183244                14.99656443752884               109412831.76812617                656225108.5224737                 11913.2519098893                19016.63587018498                              0.0               1.3333333333333333
                10490366.447170945               14.996564437528841                109412815.6611832                656225155.9906179               11917.830098285787                19045.00943311942                              0.0               1.3333333333333333
                10490366.447160693               14.996564437528843               109412811.24945353                 656225220.102026                 11916.7271880555                19037.12065832346                              0.0               1.3333333333333333
                 10490366.44715215               14.996564437528846               109412854.81546178                656225402.2660286               11901.629820149365                 18939.3850606993                              0.0               1.3333333333333333
                10490366.447145034               14.996564437528848               109412823.61828797                656225370.1229153               11907.485869256698               18976.091469831925                              0.0               1.3333333333333333
                10490366.447139101                14.99656443752885               109413567.59111807                656227441.2566638               11915.055227310353               19024.113354543388                              0.0               1.3333333333333333
